Id,Label,timeset,modularity_class
0071360387,0071360387,,0
0838514944,0838514944,,0
0781719682,0781719682,,0
0323019765,0323019765,,0
0815137621,0815137621,,0
0443070385,0443070385,,0
0781717078,0781717078,,0
0803603649,0803603649,,0
032301335X,032301335X,,0
0838581358,0838581358,,0
0323008283,0323008283,,0
0964615134,0964615134,,0
0815130341,0815130341,,0
0803602294,0803602294,,0
0323018777,0323018777,,0
0397554729,0397554729,,0
0781732034,0781732034,,0
0781716594,0781716594,,0
0192632701,0192632701,,0
0803605935,0803605935,,0
0071383360,0071383360,,0
0071391029,0071391029,,0
0721674682,0721674682,,0
0781714303,0781714303,,0
0838522106,0838522106,,0
1560550988,1560550988,,0
081517148X,081517148X,,0
0070220670,0070220670,,0
0683304828,0683304828,,0
0781718767,0781718767,,0
0721694063,0721694063,,0
0323017126,0323017126,,0
0781729947,0781729947,,0
0323001483,0323001483,,0
0721672299,0721672299,,0
0781717302,0781717302,,0
0781737532,0781737532,,0
081515903X,081515903X,,0
0721679714,0721679714,,0
0815188986,0815188986,,0
0387949585,0387949585,,0
0721686923,0721686923,,0
0721677436,0721677436,,0
1883205441,1883205441,,0
0803605382,0803605382,,0
0838514014,0838514014,,0
0781721709,0781721709,,0
0721682464,0721682464,,0
0632047585,0632047585,,0
0683305891,0683305891,,0
072168002X,072168002X,,0
0683305174,0683305174,,0
0632043229,0632043229,,0
0070653518,0070653518,,0
0323000290,0323000290,,0
0323002528,0323002528,,0
1560534028,1560534028,,0
1560533595,1560533595,,0
0721680178,0721680178,,0
0070164436,0070164436,,0
0071383840,0071383840,,0
0721680011,0721680011,,0
078173486X,078173486X,,0
0781739179,0781739179,,0
083850387X,083850387X,,0
0781734800,0781734800,,0
0721686966,0721686966,,0
0803602790,0803602790,,0
0323005063,0323005063,,0
0912423161,0912423161,,0
0323012094,0323012094,,0
0721651232,0721651232,,0
0683180177,0683180177,,0
0838522084,0838522084,,0
0838514472,0838514472,,0
032301450X,032301450X,,0
0071346767,0071346767,,0
0683301772,0683301772,,0
0071402403,0071402403,,0
0683307444,0683307444,,0
0838516246,0838516246,,0
0781712483,0781712483,,0
0079129382,0079129382,,0
089203162X,089203162X,,0
0815155816,0815155816,,0
0912423293,0912423293,,0
0892032170,0892032170,,0
072167089X,072167089X,,0
0781716675,0781716675,,0
1579471900,1579471900,,0
0781720281,0781720281,,0
0803605897,0803605897,,0
0071054871,0071054871,,0
0815142420,0815142420,,0
0721695930,0721695930,,0
0966490207,0966490207,,0
0815123957,0815123957,,0
078171432X,078171432X,,0
0323016197,0323016197,,0
0967183103,0967183103,,0
0815189168,0815189168,,0
1882742257,1882742257,,0
0781720087,0781720087,,0
0683302620,0683302620,,0
019511518X,019511518X,,0
0071364668,0071364668,,0
0074707191,0074707191,,0
0070062943,0070062943,,0
0838506364,0838506364,,0
0815173628,0815173628,,0
1882742184,1882742184,,0
0960373039,0960373039,,0
0443056978,0443056978,,0
0071395938,0071395938,,0
0071374795,0071374795,,0
0397447892,0397447892,,0
0070648794,0070648794,,0
078171463X,078171463X,,0
0801663849,0801663849,,0
0781716306,0781716306,,0
1573401188,1573401188,,0
0721667449,0721667449,,0
0323014860,0323014860,,0
1582550069,1582550069,,0
0323007562,0323007562,,0
0683301675,0683301675,,0
0781716187,0781716187,,0
0275944999,0275944999,,0
0781720125,0781720125,,0
0323008275,0323008275,,0
0781735394,0781735394,,0
0323008313,0323008313,,0
0070120390,0070120390,,0
0721686931,0721686931,,0
0815113765,0815113765,,0
0071375023,0071375023,,0
0140157352,0140157352,,1
1878379720,1878379720,,1
0465007503,0465007503,,1
0761918892,0761918892,,1
0875842518,0875842518,,1
0553371312,0553371312,,1
0609608002,0609608002,,1
0787957429,0787957429,,1
0324019874,0324019874,,1
0140281916,0140281916,,1
0670881333,0670881333,,1
0938721739,0938721739,,1
0314252045,0314252045,,1
0553281097,0553281097,,1
0787957437,0787957437,,1
0393037371,0393037371,,1
0072312858,0072312858,,1
0471080721,0471080721,,1
0875461794,0875461794,,1
0525936769,0525936769,,1
0205290302,0205290302,,1
0072545828,0072545828,,1
0801486971,0801486971,,1
0887307434,0887307434,,1
1880711001,1880711001,,1
0072482567,0072482567,,1
0140235310,0140235310,,1
1565491424,1565491424,,1
1559636335,1559636335,,1
1885073518,1885073518,,1
0072311223,0072311223,,1
0887308422,0887308422,,1
0256208328,0256208328,,1
0791420361,0791420361,,1
0314228659,0314228659,,1
0787960128,0787960128,,1
1574442333,1574442333,,1
1590071581,1590071581,,1
156706695X,156706695X,,1
0814451616,0814451616,,1
0793144353,0793144353,,1
0140296344,0140296344,,1
0671769707,0671769707,,1
013010194X,013010194X,,1
0029019869,0029019869,,1
0137275617,0137275617,,1
0824704207,0824704207,,1
0471599336,0471599336,,1
0787965014,0787965014,,1
0324072740,0324072740,,1
087584314X,087584314X,,1
0671869213,0671869213,,1
0787950211,0787950211,,1
067404813X,067404813X,,1
0806508477,0806508477,,1
078790161X,078790161X,,1
0070216568,0070216568,,1
0887307027,0887307027,,1
0471013218,0471013218,,1
0072432551,0072432551,,1
1577311280,1577311280,,1
0195108035,0195108035,,1
0609807196,0609807196,,1
0674003357,0674003357,,1
0735527709,0735527709,,1
0787902489,0787902489,,1
0314335579,0314335579,,1
0787957097,0787957097,,1
076190882X,076190882X,,1
0750671866,0750671866,,1
0887307000,0887307000,,1
0684868512,0684868512,,1
0471581054,0471581054,,1
0787902497,0787902497,,1
1570739315,1570739315,,1
0415139384,0415139384,,1
0735500193,0735500193,,1
1570429979,1570429979,,1
0256261180,0256261180,,1
1929562039,1929562039,,1
0836191277,0836191277,,1
0750622091,0750622091,,1
0321014162,0321014162,,1
0670883395,0670883395,,1
1555421253,1555421253,,1
1570350418,1570350418,,1
0817304916,0817304916,,1
1563052458,1563052458,,1
0836191978,0836191978,,1
0075548534,0075548534,,1
0028633938,0028633938,,1
0767901312,0767901312,,1
0731801113,0731801113,,1
0670887587,0670887587,,1
0130179647,0130179647,,1
0553525689,0553525689,,1
0943001552,0943001552,,4
0802461891,0802461891,,1
0205272940,0205272940,,1
155927641X,155927641X,,1
1564144984,1564144984,,1
0130903272,0130903272,,1
0446523216,0446523216,,1
0446678295,0446678295,,1
0140245227,0140245227,,1
0944661300,0944661300,,1
0060915730,0060915730,,1
0787900273,0787900273,,1
1886230218,1886230218,,1
0674069161,0674069161,,1
0312293380,0312293380,,1
0314238883,0314238883,,1
0787950602,0787950602,,1
0761923497,0761923497,,1
0887309585,0887309585,,1
0553456121,0553456121,,1
0872182991,0872182991,,4
0268013160,0268013160,,1
0072321725,0072321725,,1
0971390746,0971390746,,1
0314072128,0314072128,,1
0936305002,0936305002,,1
0787901814,0787901814,,1
0970755104,0970755104,,1
025621591X,025621591X,,1
0820542644,0820542644,,1
0814721648,0814721648,,1
031407211X,031407211X,,1
0140126384,0140126384,,1
1880711095,1880711095,,1
0029187702,0029187702,,1
0801861977,0801861977,,1
0814479502,0814479502,,1
0887307094,0887307094,,1
0609606980,0609606980,,1
0256241686,0256241686,,1
0314201491,0314201491,,1
0787946796,0787946796,,1
1556815034,1556815034,,1
0787955868,0787955868,,1
0553755587,0553755587,,1
0787277215,0787277215,,2
0890896038,0890896038,,1
053423982X,053423982X,,1
0671788558,0671788558,,1
1564143996,1564143996,,1
1559270454,1559270454,,1
0471293776,0471293776,,1
0471331678,0471331678,,1
053435923X,053435923X,,1
007231253X,007231253X,,1
0875844405,0875844405,,1
0072429658,0072429658,,1
0684823020,0684823020,,1
0130336297,0130336297,,2
0072464046,0072464046,,2
0072513802,0072513802,,2
0130353094,0130353094,,2
0324164858,0324164858,,2
0131018612,0131018612,,2
013227034X,013227034X,,2
0324183518,0324183518,,2
0072528788,0072528788,,2
0324003218,0324003218,,2
0471254541,0471254541,,2
0324164920,0324164920,,2
0324180357,0324180357,,2
0072872225,0072872225,,2
032402410X,032402410X,,2
0324021224,0324021224,,2
0844232025,0844232025,,2
0072518766,0072518766,,2
1557532311,1557532311,,2
0471177431,0471177431,,2
0072509619,0072509619,,2
0072352361,0072352361,,2
0030329922,0030329922,,2
0738203890,0738203890,,2
0130276618,0130276618,,2
0538878894,0538878894,,2
0072445297,0072445297,,2
0030313783,0030313783,,2
0324145675,0324145675,,2
0134949641,0134949641,,2
0538884851,0538884851,,2
0201615452,0201615452,,2
0130782971,0130782971,,2
0256197903,0256197903,,2
0130180424,0130180424,,2
0072392797,0072392797,,2
0619034165,0619034165,,2
0130341053,0130341053,,2
1861521391,1861521391,,2
0072478616,0072478616,,2
032416470X,032416470X,,2
0130109967,0130109967,,2
0130404403,0130404403,,2
007255374X,007255374X,,2
0273651129,0273651129,,2
0130872946,0130872946,,2
0324114818,0324114818,,2
0471215333,0471215333,,2
1855674432,1855674432,,2
0471389196,0471389196,,2
0136328601,0136328601,,2
0324072759,0324072759,,2
0072430788,0072430788,,2
0130179167,0130179167,,2
0471159050,0471159050,,2
0812545494,0812545494,,2
0130835722,0130835722,,2
0324269609,0324269609,,2
0256127972,0256127972,,2
0072839694,0072839694,,2
0030326214,0030326214,,2
0324015658,0324015658,,2
0072486600,0072486600,,2
0072476443,0072476443,,2
0132340062,0132340062,,2
047135399X,047135399X,,2
0030233674,0030233674,,2
0324044992,0324044992,,2
0324157991,0324157991,,2
027365117X,027365117X,,2
0324058810,0324058810,,2
0072512601,0072512601,,2
013012446X,013012446X,,2
0471000604,0471000604,,2
0844235830,0844235830,,2
0072909994,0072909994,,2
0131759477,0131759477,,2
0471415723,0471415723,,2
0130822000,0130822000,,2
0130330663,0130330663,,2
0256264597,0256264597,,2
0631231366,0631231366,,2
0312873964,0312873964,,2
0201738260,0201738260,,2
0133716678,0133716678,,2
0072314850,0072314850,,2
0538877626,0538877626,,2
0324020023,0324020023,,2
0471363405,0471363405,,2
0131396102,0131396102,,2
0618147233,0618147233,,2
0324061889,0324061889,,2
0130912824,0130912824,,2
0072392916,0072392916,,2
0130470643,0130470643,,2
0130763209,0130763209,,2
0139570020,0139570020,,2
0030329310,0030329310,,2
0130307947,0130307947,,2
0201331187,0201331187,,2
0130815616,0130815616,,2
0631231358,0631231358,,2
1580530850,1580530850,,2
003018083X,003018083X,,2
0029044308,0029044308,,2
0631209018,0631209018,,2
0256259828,0256259828,,2
0072508078,0072508078,,2
0130465526,0130465526,,2
003033263X,003033263X,,2
0534204066,0534204066,,2
0074107895,0074107895,,2
013019980X,013019980X,,2
013065132X,013065132X,,2
0030243998,0030243998,,2
0130651214,0130651214,,2
0072495839,0072495839,,2
0324149999,0324149999,,2
0130340731,0130340731,,2
0324184867,0324184867,,2
0256218404,0256218404,,2
0072515023,0072515023,,2
0738203130,0738203130,,2
0684850338,0684850338,,2
0534925618,0534925618,,2
0324145632,0324145632,,2
0273646575,0273646575,,2
0201615436,0201615436,,2
0072485450,0072485450,,2
0324003242,0324003242,,2
0324002262,0324002262,,2
013032907X,013032907X,,2
0072468017,0072468017,,2
0131014986,0131014986,,2
0072518758,0072518758,,2
0631207805,0631207805,,2
0130651311,0130651311,,2
0324061870,0324061870,,2
0030210291,0030210291,,2
0324184603,0324184603,,2
0471238953,0471238953,,2
0074107968,0074107968,,2
0324065914,0324065914,,2
032411480X,032411480X,,2
0130117323,0130117323,,2
0256173451,0256173451,,2
0538867566,0538867566,,2
0471370606,0471370606,,2
0130613177,0130613177,,2
0684801523,0684801523,,3
0486284999,0486284999,,3
0553210092,0553210092,,3
0694523755,0694523755,,3
0140247750,0140247750,,3
0809012235,0809012235,,3
0618122176,0618122176,,3
0321012690,0321012690,,3
0451524969,0451524969,,3
0393966356,0393966356,,3
0060931418,0060931418,,3
0312112254,0312112254,,3
1559943750,1559943750,,3
0679755330,0679755330,,3
0393979695,0393979695,,3
0736621652,0736621652,,3
0791041654,0791041654,,3
0140868445,0140868445,,3
0142000086,0142000086,,3
0375759646,0375759646,,3
059043389X,059043389X,,3
067973225X,067973225X,,3
0393956539,0393956539,,3
0130547921,0130547921,,3
097128170X,097128170X,,3
0451524640,0451524640,,3
0684837889,0684837889,,3
039395871X,039395871X,,3
067188803X,067188803X,,3
0140771972,0140771972,,3
0764586688,0764586688,,3
0812034082,0812034082,,3
0140186557,0140186557,,3
0679410430,0679410430,,3
055327838X,055327838X,,3
0679732241,0679732241,,3
0808508830,0808508830,,3
039598078X,039598078X,,3
0060010258,0060010258,,3
0140390464,0140390464,,3
0395978653,0395978653,,3
1561004804,1561004804,,3
0159504481,0159504481,,3
0026765977,0026765977,,3
0316769487,0316769487,,3
0764586599,0764586599,,3
1559942568,1559942568,,3
0844253073,0844253073,,3
0375759506,0375759506,,3
0440222281,0440222281,,3
0028222598,0028222598,,3
0811468267,0811468267,,3
0451526872,0451526872,,3
0684852764,0684852764,,3
0684801558,0684801558,,3
068480445X,068480445X,,3
0300088310,0300088310,,3
1555460615,1555460615,,3
0689831390,0689831390,,3
0375407170,0375407170,,3
1561005002,1561005002,,3
0486224570,0486224570,,3
0822204509,0822204509,,3
0486282694,0486282694,,3
0821576119,0821576119,,3
0140481346,0140481346,,3
068480154X,068480154X,,3
0072434228,0072434228,,3
0521402379,0521402379,,3
0812504267,0812504267,,3
0822202557,0822202557,,3
0321080564,0321080564,,3
0026765950,0026765950,,3
0393972917,0393972917,,3
0822204754,0822204754,,3
0808509535,0808509535,,3
0300087012,0300087012,,3
0312075316,0312075316,,3
0822206838,0822206838,,3
0142437336,0142437336,,3
0679723161,0679723161,,3
0486282406,0486282406,,3
0884896323,0884896323,,3
1559943785,1559943785,,3
0679601392,0679601392,,3
0385007051,0385007051,,3
014200099X,014200099X,,3
0192839438,0192839438,,3
0192824414,0192824414,,3
155685000X,155685000X,,3
0142000663,0142000663,,3
0764586017,0764586017,,3
0553210793,0553210793,,3
0673216772,0673216772,,3
0694520136,0694520136,,3
023112189X,023112189X,,3
078381609X,078381609X,,3
1561007447,1561007447,,3
0764115316,0764115316,,3
0684801469,0684801469,,3
1587886103,1587886103,,3
0393977943,0393977943,,3
0140247734,0140247734,,3
9626340738,9626340738,,3
156765052X,156765052X,,3
0451524209,0451524209,,3
0528845004,0528845004,,3
0791045684,0791045684,,3
0812034120,0812034120,,3
0060199490,0060199490,,3
0486270602,0486270602,,3
0767902890,0767902890,,3
0684178176,0684178176,,3
0026463849,0026463849,,3
0694520152,0694520152,,3
0486280616,0486280616,,3
0451526503,0451526503,,3
0375504524,0375504524,,3
0521890470,0521890470,,3
0521645298,0521645298,,3
0060809779,0060809779,,3
0141180978,0141180978,,3
0684842505,0684842505,,3
0486421325,0486421325,,3
081120765X,081120765X,,3
0679601724,0679601724,,3
0451527666,0451527666,,3
0395775515,0395775515,,3
0684830515,0684830515,,3
1567996469,1567996469,,3
0736644318,0736644318,,3
0140189645,0140189645,,3
0140283277,0140283277,,3
0451526732,0451526732,,3
0393958728,0393958728,,3
0060929804,0060929804,,3
088690188X,088690188X,,3
0679783385,0679783385,,3
0736631046,0736631046,,3
0130838152,0130838152,,3
0451167783,0451167783,,3
0673216837,0673216837,,3
0679420401,0679420401,,3
0486419231,0486419231,,3
0679457860,0679457860,,3
067944727X,067944727X,,3
1561007307,1561007307,,3
0375507914,0375507914,,3
0764586653,0764586653,,3
0316769177,0316769177,,3
0694524026,0694524026,,3
0553213628,0553213628,,3
0140481389,0140481389,,3
0899664156,0899664156,,3
014039012X,014039012X,,3
0812504224,0812504224,,3
0822010666,0822010666,,3
1589580206,1589580206,,14
0679447237,0679447237,,3
0451528042,0451528042,,3
0822011085,0822011085,,3
1883011841,1883011841,,3
0808514032,0808514032,,3
0822008742,0822008742,,3
076458605X,076458605X,,3
0898459168,0898459168,,3
055321330X,055321330X,,3
0812034155,0812034155,,3
0679745254,0679745254,,3
156849694X,156849694X,,3
0671042890,0671042890,,3
0486277860,0486277860,,3
0822202905,0822202905,,3
1561001147,1561001147,,3
078619815X,078619815X,,3
0679728872,0679728872,,3
0486266907,0486266907,,3
0878910247,0878910247,,3
158081204X,158081204X,,3
0451527771,0451527771,,3
0141180870,0141180870,,3
0684830507,0684830507,,3
193105679X,193105679X,,3
0140186409,0140186409,,3
3895082104,3895082104,,3
0618122184,0618122184,,3
0451526082,0451526082,,3
0684822768,0684822768,,3
0312195753,0312195753,,3
0553212451,0553212451,,3
0486289990,0486289990,,3
0811214044,0811214044,,3
0192832506,0192832506,,3
0142437263,0142437263,,3
0140432620,0140432620,,3
0140281622,0140281622,,3
0812504402,0812504402,,3
0375508333,0375508333,,3
0192834967,0192834967,,3
0138382697,0138382697,,3
0684830469,0684830469,,3
0884897532,0884897532,,3
0060956941,0060956941,,3
0679417311,0679417311,,3
0764586521,0764586521,,3
0486403491,0486403491,,3
0684800713,0684800713,,3
0684163268,0684163268,,3
0808509055,0808509055,,3
055321439X,055321439X,,3
0618101985,0618101985,,3
0195010434,0195010434,,3
0894806114,0894806114,,3
0393966402,0393966402,,3
0316769533,0316769533,,3
0486287734,0486287734,,3
